Fiscal Year,Category,Type,Scope,Description,Emissions,Emission Category
2017,Corporate emissions,Gross emissions,Scope 3,Employee commute,172000,High
2017,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,2120,High
2017,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),1500,High
2017,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),0,Low
2017,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),0,Low
2017,Corporate emissions,Carbon removals,Unknown,Corporate carbon offsets,-112220,Low
2017,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),21100000,High
2017,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1200000,High
2017,Product life cycle emissions,Gross emissions,Scope 3,Product use (use of sold products),4700000,High
2017,Product life cycle emissions,Gross emissions,Scope 3,End-of-life processing,40000,High
2017,Product life cycle emissions,Carbon removals,Unknown,Product carbon offsets,-100000,Low
2016,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",27000,High
2016,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,7370,High
2016,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),3445,High
2016,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,41000,High
2016,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",1156,High
2016,Corporate emissions,Gross emissions,Scope 3,Business travel,118000,High
2016,Corporate emissions,Gross emissions,Scope 3,Employee commute,186000,High
2016,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,2120,High
2016,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),1500,High
2016,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),0,Low
2016,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),0,Low
2016,Corporate emissions,Carbon removals,Unknown,Corporate carbon offsets,-112220,Low
2016,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),22800000,High
2016,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1200000,High
2016,Product life cycle emissions,Gross emissions,Scope 3,Product use (use of sold products),4900000,High
2016,Product life cycle emissions,Gross emissions,Scope 3,End-of-life processing,300000,High
2016,Product life cycle emissions,Carbon removals,Unknown,Product carbon offsets,-100000,Low
2015,Corporate emissions,Gross emissions,Scope 1,"Natural gas, diesel, propane",19360,High
2015,Corporate emissions,Gross emissions,Scope 1,Fleet vehicles,8740,High
2015,Corporate emissions,Gross emissions,Scope 1,Other (R&D processes & refrigerant leaks),3445,High
2015,Corporate emissions,Gross emissions,Scope 2 (market-based),Electricity,42460,High
2015,Corporate emissions,Gross emissions,Scope 2 (market-based),"Steam, heating, and cooling",1156,High
2015,Corporate emissions,Gross emissions,Scope 3,Business travel,139940,High
2015,Corporate emissions,Gross emissions,Scope 3,Employee commute,172970,High
2015,Corporate emissions,Gross emissions,Scope 3,Upstream fuel,2120,High
2015,Corporate emissions,Gross emissions,Scope 3,Work from home (market-based),1500,High
2015,Corporate emissions,Gross emissions,Scope 3,Transmission and distribution loss (market-based),0,Low
2015,Corporate emissions,Gross emissions,Scope 3,Third-party cloud (market-based),0,Low
2015,Corporate emissions,Carbon removals,Unknown,Corporate carbon offsets,-112220,Low
2015,Product life cycle emissions,Gross emissions,Scope 3,Manufacturing (purchased goods and services),29600000,High
2015,Product life cycle emissions,Gross emissions,Scope 3,Product transportation (upstream and downstream),1300000,High
2015,Product life cycle emissions,Gross emissions,Scope 3,Product use (use of sold products),6600000,High
2015,Product life cycle emissions,Gross emissions,Scope 3,End-of-life processing,500000,High
2015,Product life cycle emissions,Carbon removals,Unknown,Product carbon offsets,-100000,Low
